latitude,longitude,address
56.314822,43.87121,"г. Нижний Новгород, ш. Московское, 213а"
56.268529,43.882695,"г. Нижний Новгород, ул. Львовская, 4"
56.220207,43.83288,"г. Нижний Новгород, ул. Минеева, 35"
56.290468,43.873071,"г. Нижний Новгород, ул. Удмуртская, 40"
56.262897,43.900322,"г. Нижний Новгород, ул. Переходникова, 29"
56.345041,43.802199,"г. Нижний Новгород, ул. Федосеенко, 94а"
56.361203,43.80624,"г. Нижний Новгород, просп. Кораблестроителей, 36, корп. 2"
56.382865,43.794263,"г. Нижний Новгород, ул. КИМа, 335"
56.317343,44.024555,"г. Нижний Новгород, ул. Полтавская, 2а"
56.323712,44.001639,"г. Нижний Новгород, ул. Большая Покровская, 13/1"
56.322271,44.008468,"г. Нижний Новгород, ул. Октябрьская, 33"
56.264627,44.021089,"г. Нижний Новгород, ул. Первоцветная, 2"
56.288718,43.952292,"г. Нижний Новгород, ул. Голубева, 1"
56.259168,43.934153,"г. Нижний Новгород, ул. Героя Попова, 35д"
56.259664,44.008667,"г. Нижний Новгород, ул. Цветочная, 12"
56.212432,43.820425,"г. Нижний Новгород, ул. Ореховская, 15, корп. 1"
56.253317,43.972345,"г. Нижний Новгород, просп. Гагарина, 164"
56.323503,44.022533,"г. Нижний Новгород, ул. Ульянова, 46"
56.267579,43.761416,"г. Нижний Новгород, пос. Новое Доскино, 12-я линия, 9а"
56.307535,43.771516,"г. Нижний Новгород, ш. Московское, 352е"
56.310782,43.812488,"г. Нижний Новгород, ш. Московское, 306"
56.270911,43.852276,"г. Нижний Новгород, Шуваловский пр-д, 5"
56.317882,44.011969,"г. Нижний Новгород, пл. Свободы, 3"
56.29995,43.985217,"г. Нижний Новгород, просп. Гагарина, 22"
56.314282,43.990309,"г. Нижний Новгород, ул. Максима Горького, 4"
56.301015,44.082161,"г. Нижний Новгород, ул. Родионова, 200"
56.285967,43.980514,"г. Нижний Новгород, просп. Гагарина, 35, корп. 1"
56.261697,43.877171,"г. Нижний Новгород, ул. Дьяконова, 11а"
56.233484,43.835208,"г. Нижний Новгород, ул. Маковского, 21"
56.325679,44.012974,"г. Нижний Новгород, ул. Пискунова, 41"
56.285324,44.069262,"г. Нижний Новгород, ул. Верхнепечерская, 14 Б"
56.23354,43.839016,"г. Нижний Новгород, ул. Коломенская, 6"
56.242502,43.847427,"г. Нижний Новгород, просп. Молодежный, 33"
56.258392,43.854923,"г. Нижний Новгород, ул. Плотникова, 4а"
56.320212,43.947608,"г. Нижний Новгород, пл. Революции, 9"
56.327575,44.001324,"г. Нижний Новгород, Кремль, 2, корп. 2"
56.241369,43.865339,"г. Нижний Новгород, просп. Ленина, 100"
56.273403,43.918219,"г. Нижний Новгород, просп. Ленина, 61"
56.313398,44.032714,"г. Нижний Новгород, ул. Республиканская, 47, корп. 2"
56.241444,43.973639,"г. Нижний Новгород, ул. Ларина, 7, корп. 1"
56.242225,43.906577,"г. Нижний Новгород, ул. Окская Гавань, 12"
