latitude,longitude,address
56.322272,44.008469,"г. Нижний Новгород, ул. Октябрьская, 33"
56.228238,43.864729,"г. Нижний Новгород, ш. Южное, 35"
56.349914,43.867146,"г. Нижний Новгород, ул. Коминтерна, 168"
56.322151,44.010043,"г. Нижний Новгород, ул. Октябрьская, 35"
56.290877,43.987394,"г. Нижний Новгород, ул. Бекетова, 3 Б"
56.340372,43.915344,"г. Нижний Новгород, ул. Бурнаковская, 51а"
56.256262,43.866692,"г. Нижний Новгород, просп. Октября, 25"
56.290354,43.94851,"г. Нижний Новгород, ул. Даргомыжского, 22"
56.249238,43.850606,"г. Нижний Новгород, ул. Краснодонцев, 7"
56.264986,43.91222,"г. Нижний Новгород, просп. Ленина, 78"
56.242828,43.853512,"г. Нижний Новгород, просп. Молодежный, 28а"
56.229983,43.820155,"г. Нижний Новгород, ул. Космическая, 51"
56.279488,43.951587,"г. Нижний Новгород, ул. Баумана, 50"
56.289098,43.930006,"г. Нижний Новгород, просп. Ленина, 29"
56.258853,43.853273,"г. Нижний Новгород, ул. Плотникова, 5"
56.277083,43.920977,"г. Нижний Новгород, просп. Ленина, 53"
56.232269,43.87576,"г. Нижний Новгород, ул. Веденяпина, 21"
56.243599,43.86291,"г. Нижний Новгород, просп. Октября, 3"
56.28459,43.937482,"г. Нижний Новгород, бул. Заречный, 3"
56.234788,43.831227,"г. Нижний Новгород, ул. Мончегорская, 6а, корп. 2"
56.314282,43.990309,"г. Нижний Новгород, пл. Максима Горького, 4"
56.290634,43.998081,"г. Нижний Новгород, ул. Бекетова, 13"
56.300482,43.984809,"г. Нижний Новгород, просп. Гагарина, 20"
56.241667,43.965005,"г. Нижний Новгород, просп. Гагарина, 180"
56.319644,44.053849,"г. Нижний Новгород, ул. Родионова, 17"
56.310432,43.99835,"г. Нижний Новгород, ул. Белинского, 38"
56.236476,43.953607,"г. Нижний Новгород, просп. Гагарина, 101, корп. 5"
56.228061,43.945367,"г. Нижний Новгород, просп. Гагарина, 228"
56.314331,44.070077,"г. Нижний Новгород, ул. Родионова, 165, корп. 13"
56.317615,44.02225,"г. Нижний Новгород, ул. Белинского, 69"
56.295468,44.075367,"г. Нижний Новгород, ш. Казанское, 5"
56.27202,43.977452,"г. Нижний Новгород, просп. Гагарина, 108"
56.30876,44.023394,"г. Нижний Новгород, ул. Ванеева, 24"
56.325522,44.003659,"г. Нижний Новгород, ул. Большая Покровская, 3"
56.290342,44.073402,"г. Нижний Новгород, ш. Казанское, 11"
56.314731,43.99707,"г. Нижний Новгород, ул. Максима Горького, 144"
56.297462,44.034196,"г. Нижний Новгород, ул. Ванеева, 90"
56.283877,44.043667,"г. Нижний Новгород, ул. Рокоссовского, 15"
56.325139,43.944322,"г. Нижний Новгород, ул. Гордеевская, 8"
56.305189,43.847496,"г. Нижний Новгород, пер. Камчатский, 5"
56.329927,43.846793,"г. Нижний Новгород, ул. Чаадаева, 16"
56.314777,43.888381,"г. Нижний Новгород, ш. Московское, 173"
56.30746,43.936902,"г. Нижний Новгород, ул. Октябрьской Революции, 66"
56.337118,43.883962,"г. Нижний Новгород, ул. Коминтерна, 4/2"
56.359965,43.821459,"г. Нижний Новгород, ул. Героев Космоса, 8а"
56.344248,43.838449,"г. Нижний Новгород, ул. Культуры, 113"
56.325647,43.917295,"г. Нижний Новгород, ул. Шаляпина, 5"
56.289738,43.857,"г. Нижний Новгород, ул. Заречная, 3"
56.334474,43.9371,"г. Нижний Новгород, ул. Сергея Есенина, 17а"
56.344141,43.927524,"г. Нижний Новгород, ул. Карла Маркса, 7а"
56.319561,43.926747,"г. Нижний Новгород, ш. Сормовское, 20"
56.322169,43.881022,"г. Нижний Новгород, ул. Березовская, 65"
56.358385,43.856399,"г. Нижний Новгород, просп. Союзный, 3а"
56.334999,43.874378,"г. Нижний Новгород, ул. Березовская, 95"
56.319041,43.944615,"г. Нижний Новгород, ул. Чкалова, 3"
56.326117,43.956943,"г. Нижний Новгород, ул. Совнаркомовская, 34"
56.34563,43.870701,"г. Нижний Новгород, ул. Коминтерна, 160"
56.31995,43.866526,"г. Нижний Новгород, ул. Рябцева, 15"
56.26268,43.883839,"г. Нижний Новгород, ул. Дьяконова, 24а"
